id;name;url
88;OK Stendal;https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ok-stendal_high/master.m3u8
89;OK Trier;https://s.ok54.de/ott/webstream/playlist.m3u8
90;OK Wernigerode;https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ok-wernigerode_high/master.m3u8
91;Oldenburg eins TV;https://www.oeins.de/live/studio.m3u8
92;Punktum SüdHarz;https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:punktum_high/playlist.m3u8
93;RAN 1;https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ran1_high/chunklist.m3u8
94;RBW Wittenberg;https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:rbw_high/chunklist.m3u8
95;RBW Regionalfernsehen Bitterfeld-Wolfen;https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:rbw_high/chunklist.m3u8
96;RFH Regionalfernsehen Harz;https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:RFH_high/chunklist.m3u8
97;Regio TV Bodensee;https://regiotv-b.iptv-playoutcenter.de/regiotv-b/regiotv-b.stream_1/playlist.m3u8
98;Regio TV Schwaben;https://stream05.welocal.stream/stream/fhd-regiotv_182913/ngrp:stream_all/master.m3u8
99;Regio TV Stuttgart;https://regiotv-s.iptv-playoutcenter.de/regiotv-s/regiotv-s.stream_1/playlist.m3u8
100;RFO;https://stream01.stream.welocal.world/stream/fhd-rfo_66876/ngrp:stream_all/playlist.m3u8
101;rheinmaintv;https://586fb512206e4.streamlock.net/rheinmaintv-live/_definst_/mp4:livestream/playlist.m3u8
102;Rhein Neckar Fernsehen;https://rnf.iptv-playoutcenter.de/rnf/rnf.stream_1/playlist.m3u8
103;STUDIO 47;http://5852afe96c9bb.streamlock.net/studio47-live/_definst_/mp4:livestream/playlist.m3u8
104;Sylt1;https://5f7f7503aa549.streamlock.net/Sylt1_Channel_1_PGM/sylt1_high/master.m3u8
105;TVA (Ostbayern);https://tvaktuellr.iptv-playoutcenter.de/tvaktuellr/tvaktuellr.stream_1/playlist.m3u8
106;tv.berlin;https://58de7a369a9c4.streamlock.net/tvb/7649_7Bpr2XK4zCR6jNV/playlist.m3u8
107;TV Mittelrhein;https://live2.telvi.de/hls/tvm_hd720.m3u8
108;TVO (Oberfranken);https://tvoberfranken.iptv-playoutcenter.de/tvoberfranken/tvoberfranken.stream_1/playlist.m3u8
109;TV38 - Fernsehen zwischen Harz und Heide;http://62.113.221.3/tv38-live/_definst_/mp4:livestream/playlist.m3u8
110;Tide TV Hamburg;https://5889e7d0d6e28.streamlock.net/tide-live/_definst_/smil:livestream.smil/chunklist_w350625857_b1600000.m3u8?ref=www.tidenet.de&seid=403020
111;TV Ingolstadt;https://stream01.welocal.stream/stream/fhd-tvingolstadt_44349/ngrp:stream_all/master.m3u8
112;Weser TV;https://5857499ee635b.streamlock.net/radiowesertv-live/_definst_/mp4:livestreamTV/chunklist_w1389213573.m3u8
113;Westerwald TV;https://live2.telvi.de/hls/wwtv_hd720.m3u8
114;Seenluft24 Senftenberg;https://5856e1a25f71a.streamlock.net/easycast7-live/_definst_/mp4:livestreamhd20/chunklist.m3u8
115;ORF1;https://orf1.mdn.ors.at/out/u/orf1/q8c/manifest.m3u8
116;ORF2;https://orf2.mdn.ors.at/out/u/orf2/q8c/manifest.m3u8
117;ORF3;https://orf3.mdn.ors.at/out/u/orf3/q8c/manifest.m3u8
118;ORFSport;https://orfs.mdn.ors.at/out/u/orfs/q8c/manifest.m3u8
119;Dorf TV Linz;http://stream.openplayout.org/hls/dorf_high/index.m3u8
120;FS1 HD - Freies Fernsehen Salzburg;http://stream.fs1.tv:8080/hls/webstream.m3u8
121;M4TV;https://streaming.m4tv.at/live/ngrp:stream_all/master.m3u8
122;Okto;https://cdn3.wowza.com/1/MHFtazJReW5rOFhP/N2NWNDZ2/hls/live/playlist.m3u8
123;W24 TV;https://ms01.w24.at/W24/smil:liveevent.smil/playlist.m3u8
124;Tirol TV;http://lb.hd-livestream.de:1935/live/TirolTV/chunklist_w1178744335.m3u8
125;Tele Basel;https://cldf-wzw-live.r53.cdn.tv1.eu/10096xtelebase/_definst_/1000199copo/live/app510394368/w162136077/live_de_1500/master.m3u8
126;Tele Bärn;https://klive.kaltura.com/env/cluster-1-a.live.nvp1/live/hls/p/1719221/e/1_obr1n222/tl/main/st/0/t/_O-oCNON5VqA2aG8WYVDeg/index-s32.m3u8
127;Tele M1 HD;https://klive.kaltura.com/env/cluster-1-d.live.nvp1/live/hls/p/1719221/e/1_ljzy3evp/tl/main/st/0/t/aG1N1BfzMxQdZwBcLmPaLw/master.m3u8
128;TeleBielingue;https://edge12.vedge.infomaniak.com/livecast/ik:telebielinguech/master.m3u8
